Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-12-08,332.19725268650865,332.3854913000259,327.7291101776706,331.86041259765625,24761000,0.0,0
2021-12-09,331.3056186104391,333.3662963128985,329.03686860508606,330.0077819824219,22214200,0.0,0
2021-12-10,331.8703214207797,339.81585919756077,331.6820828118115,339.3601379394531,38095700,0.0,0
2021-12-13,337.5174144741413,340.5985596475969,335.9322614425238,336.2492980957031,28899400,0.0,0
2021-12-14,330.1266646576605,331.5334958651202,321.10121857747214,325.2919616699219,44438700,0.0,0
2021-12-15,325.55942764189393,332.0783610070855,321.48759617505715,331.5433654785156,35381100,0.0,0
2021-12-16,332.5935267493306,333.6337975245389,320.02132820334333,321.8838806152344,35034800,0.0,0
2021-12-17,317.9012216840176,321.90372614830665,314.3049147486993,320.7940979003906,47750300,0.0,0
2021-12-20,317.0789006950439,319.80337190319597,314.62194237362974,316.9402160644531,28326500,0.0,0
2021-12-21,320.2888417960249,324.6876267938357,316.83121961488087,324.251708984375,24740600,0.0,0
2021-12-22,325.25233571727495,330.5130398683661,322.72601979722486,330.10687255859375,24831500,0.0,0
2021-12-23,329.66101480406616,333.2672384641881,329.6412113524298,331.5830078125,19617800,0.0,0
2021-12-27,332.34583488445827,339.30068586951506,332.31611459111514,339.2709655761719,19947000,0.0,0
2021-12-28,339.9644480708045,340.6183247565241,337.16073296020977,338.08209228515625,15661500,0.0,0
2021-12-29,338.13164463365837,341.10379514693733,336.5266881939723,338.775634765625,15042000,0.0,0
2021-12-30,338.7359969216572,339.94467267058,335.6746855274634,336.1700439453125,15994500,0.0,0
2021-12-31,335.3675788680776,336.2096640239942,332.732268353746,333.1979064941406,18000800,0.0,0
2022-01-03,332.2368921945463,334.86228572512135,326.7185922416067,331.6424560546875,28865100,0.0,0
2022-01-04,331.72172946382125,332.0883201170867,323.0925936487409,325.9557800292969,32674300,0.0,0
2022-01-05,322.8350007241485,323.043073045828,313.04674296088297,313.4430236816406,40054300,0.0,0
2022-01-06,310.24298283913777,315.74147962673493,308.5983892012821,310.9662170410156,39646100,0.0,0
2022-01-07,311.23368968189817,313.5618803060659,307.2113817245184,311.1247253417969,32720000,0.0,0
2022-01-10,306.6169443070618,311.79840425058336,301.86151558163925,311.3525695800781,44289500,0.0,0
2022-01-11,310.470846772073,313.67084280106366,307.013254690862,312.0559997558594,29386800,0.0,0
2022-01-12,316.70245741531426,320.40772862682127,314.1364742594245,315.3154296875,34372200,0.0,0
2022-01-13,317.4950361383828,317.90123368268473,301.17792810066317,301.9704895019531,45366000,0.0,0
2022-01-14,301.425596288071,307.93461313382164,300.9302378718211,307.32037353515625,39846400,0.0,0
2022-01-18,301.24725469666714,306.9240424235012,298.9388676976057,299.8404235839844,42333200,0.0,0
2022-01-19,303.4466424760829,310.995899289844,299.8899729640424,300.51409912109375,45933900,0.0,0
2022-01-20,306.20085733164547,308.7568934451825,298.34448014066584,298.8002014160156,35380700,0.0,0
2022-01-21,299.8800683351855,301.2868692493151,292.8657765132162,293.2818908691406,57984400,0.0,0
2022-01-24,289.48747162087585,294.3518646802768,273.487370529402,293.6187438964844,85731500,0.0,0
2022-01-25,288.8137912829578,292.2515802719687,282.52276290533666,285.8119201660156,72848600,0.0,0
2022-01-26,305.13085044022915,305.63612567141297,290.3097359235111,293.95556640625,90428900,0.0,0
2022-01-27,299.850377962081,304.4472886160883,295.16427618168626,297.0565490722656,53481300,0.0,0
2022-01-28,297.4429216133484,305.6163353745126,291.71657960580694,305.39837646484375,49743700,0.0,0
2022-01-31,306.0819856343502,309.4801372039668,303.5259192073298,308.0931396484375,46444500,0.0,0
2022-02-01,307.52841451394147,307.74637342568974,302.2974308662617,305.89373779296875,40950400,0.0,0
2022-02-02,306.7556473086547,312.19467286013924,306.01260970941246,310.5500793457031,36636000,0.0,0
2022-02-03,306.6169267735046,308.3407945311725,297.17539706312397,298.45343017578125,43730000,0.0,0
2022-02-04,297.42309613386396,305.9333502203815,297.1853337655839,303.09991455078125,35096500,0.0,0
2022-02-07,303.3277621523979,304.982242201895,297.11594874920587,298.1562194824219,28533300,0.0,0
2022-02-08,298.4534264488886,302.7234133014982,297.1655067438155,301.7326965332031,32421200,0.0,0
2022-02-09,306.9934269295294,309.03430123147655,304.536468479803,308.32098388671875,31284700,0.0,0
2022-02-10,301.2175918222459,306.25042065655083,297.90860081672207,299.572998046875,45386200,0.0,0
2022-02-11,300.3754221135229,301.46521661535456,291.48869141220894,292.30108642578125,39175600,0.0,0
2022-02-14,291.04288198344284,294.0051459633698,288.64536410597924,292.261474609375,36359500,0.0,0
2022-02-15,297.22497329245454,298.00761783908916,294.2627093372037,297.6806945800781,27058300,0.0,0
